p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
50,0,6.6805553,1,.42857143,5,25,-8.8618689,319,.25,.71426612,-5.2631607,.10714286,.035714287,.19444445,.28571427,.049999997
50,1,6.6805553,1,.5,5,25,-8.8618689,243,,,,,,,,.050000001
50,2,6.6805553,1,.42857143,5,25,-8.8618689,142.52942,-.083333336,-.33329782,7.6923065,,,,,
51,0,9.2361107,2,.42857143,5,5,-82.228012,236,0,0,-5.2631607,.071428575,.035714287,-.027777778,.19047618,.10000001
51,1,9.2361107,2,,,5,-82.228012,,,,,,,,,
51,2,9.2361107,2,,,5,-82.228012,,,,,,,,,
52,0,10.280556,1,.42857143,5,28,-2.4134259,,.25,.60000002,3.8277512,0,.035714287,.055555567,,
52,1,10.280556,1,.35714287,4,28,-2.4134259,168.75,-.083333336,-.33329782,,,,,,
52,2,10.280556,1,,,28,-2.4134259,,,,,,,,,
53,0,8.6861115,1,,,18,-5.7826152,269,-.083333336,-.33329782,0,0,0,.027777778,.011904716,0
53,1,8.6861115,1,.42857143,6,18,-5.7826152,286,0,0,-6.6985626,0,.071428575,-.02777778,.41666669,.050000001
53,2,8.6861115,1,.5714286,7,18,-5.7826152,280,0,0,-2.2624435,,,,,
54,0,6.7611113,1,.5,6,22,-11.491902,308,-.16666667,-.59997439,-5.2631607,.035714287,.071428575,.027777778,.11904758,.013157904
54,1,6.7611113,1,.5,6,22,-11.491902,306.23077,.083333336,.33329782,-1.4354019,0,.035714287,.02777778,.39285713,.15789473
54,2,6.7611113,1,.42857143,6,22,-11.491902,302.52631,.083333336,.33333334,-4.072403,,,,,
55,0,7.686111,2,.35714287,4,21,-5.5640521,140.46153,.083333336,.33329782,-10.526314,0,.035714287,.1388889,,
55,1,7.686111,2,.42857143,6,21,-5.5640521,310,0,0,0,0,.035714287,0,.36904761,0
55,2,7.686111,2,.5714286,6,21,-5.5640521,250.17647,-.083333336,-.33329782,7.6923065,,,,,
